,Test_Time(s),Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Temperature (C)_1
667,3339.7185649999997,0.45417830299999995,3.600465298,0.854282179,0.008765985,3.04369496,0.020366863,6.1512e-05,1.014794827
668,3344.7209190000003,0.45136082200000005,3.600157738,0.854911297,0.008765985,3.045959887,0.020366863,0.0,1.014794827
669,3349.721071,0.44854337,3.600157738,0.8555362990000001,0.008765985,3.0482099999999996,0.020366863,6.15597e-05,1.0457705259999999
670,3354.7254359999997,0.44572588799999996,3.600157738,0.856157975,0.008765985,3.050448137,0.020366863,0.0,0.969940245
671,3359.733565,0.44309625,3.600157738,0.8567762729999999,0.008765985,3.0526741060000004,0.020366863,0.0,1.0457705259999999
672,3364.740793,0.44046661299999995,3.600157738,0.8573906090000001,0.008765985,3.054885816,0.020366863,0.0,1.0457705259999999
673,3369.7500579999996,0.437836975,3.600157738,0.8580014140000001,0.008765985,3.057084816,0.020366863,0.0,1.0457705259999999
674,3374.750297,0.43483167899999997,3.600157738,0.8586073320000001,0.008765985,3.0592662180000003,0.020366863,0.0,1.014794827
675,3379.7515740000003,0.43220204100000004,3.599849939,0.859209569,0.008765985,3.0614343760000002,0.020366863,-6.15597e-05,1.0457705259999999
676,3384.7527990000003,0.429572433,3.600157738,0.85980803,0.008765985,3.0635889260000004,0.020366863,0.0,0.969940245
677,3389.763222,0.426942796,3.600157738,0.860403825,0.008765985,3.0657338710000004,0.020366863,0.0,0.969940245
678,3394.7673200000004,0.42431315799999997,3.600157738,0.860995175,0.008765985,3.067862833,0.020366863,0.0,1.014794827
679,3399.7755310000002,0.42149567600000004,3.600157738,0.8615833509999999,0.008765985,3.0699803589999997,0.020366863,6.15597e-05,1.0457705259999999
680,3404.7797939999996,0.418866038,3.600157738,0.8621673670000001,0.008765985,3.07208292,0.020366863,0.0,1.014794827
681,3409.7894159999996,0.41623640100000003,3.600157738,0.862748341,0.008765985,3.0741745289999995,0.020366863,0.0,0.8631345029999999
